geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lng,geolocation_lat,
6471,"barueri","SP",-46.85600681245222,-23.486336554560975,
12334,"jacarei","SP",-45.981305848710214,-23.273331971711066,
5317,"sao paulo","SP",-46.732354538230645,-23.539687011493193,
4427,"sao paulo","SP",-46.648736491949904,-23.684128292255764,
7232,"guarulhos","SP",-46.46544891978763,-23.46513020260835,
5069,"sao paulo","SP",-46.70358704097112,-23.5173945862646,
8793,"mogi das cruzes","SP",-46.163648499686346,-23.541081770461982,
8071,"sao paulo","SP",-46.447620098245764,-23.488918658895486,
5588,"sao paulo","SP",-46.73694033741935,-23.57379414182388,
5074,"são paulo","SP",-46.706916253534565,-23.51835132001268,
5592,"sao paulo","SP",-46.73925238343238,-23.578040430751912,
7154,"guarulhos","SP",-46.44362239508913,-23.376859784898166,
4473,"são paulo","SP",-46.647834040106176,-23.699922181516524,
12327,"jacarei","SP",-45.97102069839801,-23.30052220635083,
6790,"taboao da serra","SP",-46.790402846788666,-23.612106404668438,
6813,"embu das artes","SP",-46.80893805663903,-23.65108660032322,
12415,"pindamonhangaba","SP",-45.40738679440146,-22.960764637528115,
6876,"itapecerica da serra","SP",-46.8884449293334,-23.78181941489635,
5438,"sao paulo","SP",-46.69236628506276,-23.545358119738825,
13571,"sao carlos","SP",-47.863468888551914,-22.030790307587626,
5338,"sao paulo","SP",-46.75418759033989,-23.55396921233187,
4291,"sao paulo","SP",-46.612538391799724,-23.617919094925384,
4024,"sao paulo","SP",-46.64472395337296,-23.605160605603338,
12935,"vargem","SP",-46.42156349999999,-22.89228223680523,
5007,"são paulo","SP",-46.67247502236124,-23.533447872872145,
4284,"sao paulo","SP",-46.6026477223152,-23.608571091869106,
7070,"guarulhos","SP",-46.56010360130418,-23.45313487898898,
6727,"cotia","SP",-47.02102585567545,-23.670027817098497,
6726,"cotia","SP",-47.02560228373818,-23.657469641782328,
5110,"sao paulo","SP",-46.74604504731955,-23.485687365254755,
4618,"sao paulo","SP",-46.67612787556467,-23.621534640027544,
14230,"serra azul","SP",-47.56570099654832,-21.307228830243417,
6472,"barueri","SP",-46.85403093540524,-23.48521168447422,
5726,"sao paulo","SP",-46.74214856050551,-23.625364075768946,
5160,"sao paulo","SP",-46.755165656673796,-23.48615630890418,
7733,"caieiras","SP",-46.676550374185965,-23.413675988010286,
5432,"são paulo","SP",-46.68892738037395,-23.557702463500508,
12320,"jacarei","SP",-45.98111608881067,-23.31428573910784,
12282,"cacapava","SP",-45.699542177765615,-23.101780442408682,
11718,"praia grande","SP",-46.47929143352188,-24.01604586150384,
7998,"francisco morato","SP",-46.733912517919464,-23.291803268069415,
3876,"sao paulo","SP",-46.49366029961336,-23.51030097224308,
3443,"sao paulo","SP",-46.53454871940099,-23.545372117404337,
12924,"braganca paulista","SP",-46.527710771945934,-22.8623683672858,
6861,"itapecerica da serra","SP",-46.8167012312833,-23.73001217111979,
6419,"barueri","SP",-46.88595088648318,-23.476467557679335,
13052,"campinas","SP",-47.093390538199266,-22.982784018310394,
13319,"bom fim do bom jesus","SP",-47.0565400118141,-23.28867817281418,
6707,"cotia","SP",-46.87724193839795,-23.5917539686364,
5628,"sao paulo","SP",-46.73116902692019,-23.59814244962204,
6622,"jandira","SP",-46.89602199770888,-23.54416206825512,
6851,"itapecerica da serra","SP",-46.86151250683588,-23.71996686058956,
6720,"cotia","SP",-46.954364956761935,-23.61458767849274,
5840,"sao paulo","SP",-46.74247214027161,-23.644041818166436,
4880,"sao paulo","SP",-46.74547626919064,-23.79114981007438,
3939,"sao paulo","SP",-46.501778341796985,-23.59797725367879,
