Symbol,Name,Sector,Industry,MarketCap,SummaryQuote,ADRTSO,?field0,LastSale,
"PSCD","Invesco S&P SmallCap Consumer Discretionary ETF",null,null,83823660,"https://www.nasdaq.com/symbol/pscd",null,null,62.0916,
"AQMS","Aqua Metals Inc.","Basic Industries","Metal Fabrications",86866550.4,"https://www.nasdaq.com/symbol/aqms",null,2015,2.24,
"HWCC","Houston Wire & Cable Company","Consumer Non-Durables","Telecommunications Equipment",102463921.8,"https://www.nasdaq.com/symbol/hwcc",null,2006,6.2,
"PTF","Invesco DWA Technology Momentum ETF",null,null,125966400,"https://www.nasdaq.com/symbol/ptf",null,null,54.768,
"IBB","iShares Nasdaq Biotechnology Index Fund",null,null,8274855500,"https://www.nasdaq.com/symbol/ibb",null,null,103.63,
"FTHI","First Trust BuyWrite Income ETF",null,null,58951709.64,"https://www.nasdaq.com/symbol/fthi",null,null,21.64,
"CACC","Credit Acceptance Corporation","Finance","Finance: Consumer Services",8301602578.4,"https://www.nasdaq.com/symbol/cacc",null,1992,429.92,
"PIE","Invesco DWA Emerging Markets Momentum ETF",null,null,191906000,"https://www.nasdaq.com/symbol/pie",null,null,15.86,
"PEBK","Peoples Bancorp of North Carolina Inc.","Finance","Major Banks",167027832.16,"https://www.nasdaq.com/symbol/pebk",null,null,27.86,
"DFNL","Davis Select Financial ETF",null,null,149209000,"https://www.nasdaq.com/symbol/dfnl",null,null,22.78,
"TAST","Carrols Restaurant Group Inc.","Consumer Services","Restaurants",499121414.98,"https://www.nasdaq.com/symbol/tast",null,2006,13.66,
"ACHN","Achillion Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals",392198578.1,"https://www.nasdaq.com/symbol/achn",null,2006,2.83,
"ITIC","Investors Title Company","Finance","Specialty Insurers",328273620,"https://www.nasdaq.com/symbol/itic",null,null,174,
"ERI","Eldorado Resorts Inc.","Consumer Services","Hotels/Resorts",2698311201.63,"https://www.nasdaq.com/symbol/eri",null,null,34.89,
"LWAY","Lifeway Foods Inc.","Consumer Non-Durables","Packaged Foods",45573852.17,"https://www.nasdaq.com/symbol/lway",null,null,2.87,
"CLAR","Clarus Corporation","Consumer Non-Durables","Recreational Products/Toys",281226925.72,"https://www.nasdaq.com/symbol/clar",null,null,9.49,
"IMPV","Imperva Inc.","Technology","Computer Software: Prepackaged Software",1945265139.06,"https://www.nasdaq.com/symbol/impv",null,null,55.34,
"CKPT","Checkpoint Therapeutics Inc.","Health Care","Major Pharmaceuticals",79306424.08,"https://www.nasdaq.com/symbol/ckpt",null,null,2.47,
"WILC","G. Willi-Food International  Ltd.","Consumer Non-Durables","Food Distributors",89111344.49,"https://www.nasdaq.com/symbol/wilc",null,null,6.73,
"FTXN","First Trust Nasdaq Oil & Gas ETF",null,null,23034811.8814,"https://www.nasdaq.com/symbol/ftxn",null,null,20.9407,
"TRUE","TrueCar Inc.","Technology","Computer Software: Programming Data Processing",1143198033.6,"https://www.nasdaq.com/symbol/true",null,2014,11.2,
"LOB","Live Oak Bancshares Inc.","Finance","Major Banks",734137787.7,"https://www.nasdaq.com/symbol/lob",null,2015,18.3,
"SBLKZ","Star Bulk Carriers Corp.","Transportation","Marine Transportation",0,"https://www.nasdaq.com/symbol/sblkz",null,null,25.56,
"BLNK","Blink Charging Co.","Consumer Durables","Electrical Products",51325252.16,"https://www.nasdaq.com/symbol/blnk",null,null,2.08,
"INOV","Inovalon Holdings Inc.","Technology","EDP Services",1493052384.54,"https://www.nasdaq.com/symbol/inov",null,2015,9.78,
"FSACW","Federal Street Acquisition Corp.","Finance","Business Services",0,"https://www.nasdaq.com/symbol/fsacw",null,2017,1.14,
"CERN","Cerner Corporation","Technology","EDP Services",18929101915.8,"https://www.nasdaq.com/symbol/cern",null,1986,57.45,
"EFAS","Global X MSCI SuperDividend EAFE ETF",null,null,0,"https://www.nasdaq.com/symbol/efas",null,null,16.07,
"ARNA","Arena Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals",1701525556.72,"https://www.nasdaq.com/symbol/arna",null,2000,34.48,
"FITBI","Fifth Third Bancorp","Finance","Major Banks",492480000,"https://www.nasdaq.com/symbol/fitbi",null,null,27.36,
"PSCT","Invesco S&P SmallCap Information Technology ETF",null,null,372050000,"https://www.nasdaq.com/symbol/psct",null,null,74.41,
"IPAR","Inter Parfums Inc.","Consumer Non-Durables","Package Goods/Cosmetics",1863575283.5,"https://www.nasdaq.com/symbol/ipar",null,null,59.5,
"XENE","Xenon Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals",208291935.57,"https://www.nasdaq.com/symbol/xene",null,2014,10.13,
"PPIH","Perma-Pipe International Holdings Inc.","Capital Goods","Pollution Control Equipment",71516231.96,"https://www.nasdaq.com/symbol/ppih",null,null,9.08,
"RFEU","First Trust RiverFront Dynamic Europe ETF",null,null,87117862.41,"https://www.nasdaq.com/symbol/rfeu",null,null,56.205,
"BOTJ","Bank of the James Financial Group Inc.","Finance","Major Banks",65151127.68,"https://www.nasdaq.com/symbol/botj",null,null,14.88,
"RILYH","B. Riley Financial Inc.","Miscellaneous","Business Services",0,"https://www.nasdaq.com/symbol/rilyh",null,null,25.5175,
"PVAL","Principal Contrarian Value Index ETF",null,null,3666024.44,"https://www.nasdaq.com/symbol/pval",null,null,24.44,
"DRIO","DarioHealth Corp.","Health Care","Medical/Dental Instruments",28011058.2,"https://www.nasdaq.com/symbol/drio",null,null,1.08,
"CHEF","The Chefs&#39; Warehouse Inc.","Consumer Non-Durables","Food Distributors",1003757557.91,"https://www.nasdaq.com/symbol/chef",null,2011,33.49,
"BLNKW","Blink Charging Co.","Consumer Durables","Electrical Products",0,"https://www.nasdaq.com/symbol/blnkw",null,null,0.65,
"ALPN","Alpine Immune Sciences Inc.","Health Care","Major Pharmaceuticals",64129028.06,"https://www.nasdaq.com/symbol/alpn",null,2015,4.63,
"BOKF","BOK Financial Corporation","Finance","Major Banks",5638122398.88,"https://www.nasdaq.com/symbol/bokf",null,null,86.16,
"STRM","Streamline Health Solutions Inc.","Technology","EDP Services",17229623.56,"https://www.nasdaq.com/symbol/strm",null,null,0.86,
"MNTX","Manitex International Inc.","Technology","Industrial Machinery/Components",168812119.98,"https://www.nasdaq.com/symbol/mntx",null,null,8.61,
"FAST","Fastenal Company","Consumer Services","RETAIL: Building Materials",14731745635.76,"https://www.nasdaq.com/symbol/fast",null,1987,51.32,
"EDGE","Edge Therapeutics Inc.","Health Care","Major Pharmaceuticals",22947853.76,"https://www.nasdaq.com/symbol/edge",null,2015,0.7325,
"AMCA","iShares Russell 1000 Pure U.S. Revenue ETF",null,null,9348500,"https://www.nasdaq.com/symbol/amca",null,null,26.71,
"HSDT","Helius Medical Technologies Inc.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus",224891463.42,"https://www.nasdaq.com/symbol/hsdt",null,null,9.62,
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX Fund",null,null,162050064.82,"https://www.nasdaq.com/symbol/fems",null,null,32.41,
"NTRP","Neurotrope Inc.","Health Care","Major Pharmaceuticals",49198290.46,"https://www.nasdaq.com/symbol/ntrp",null,null,6.22,
"HBMD","Howard Bancorp Inc.","Finance","Major Banks",299067340.8,"https://www.nasdaq.com/symbol/hbmd",null,null,15.72,
"TCRD","THL Credit Inc.",null,null,251586643,"https://www.nasdaq.com/symbol/tcrd",null,2010,7.7,
"ESXB","Community Bankers Trust Corporation.","Finance","Major Banks",188832167.3,"https://www.nasdaq.com/symbol/esxb",null,null,8.54,
"PMTS","CPI Card Group Inc.","Finance","Finance Companies",32809559.16,"https://www.nasdaq.com/symbol/pmts",null,2015,2.94,
"FARO","FARO Technologies Inc.","Capital Goods","Industrial Machinery/Components",855559615.62,"https://www.nasdaq.com/symbol/faro",null,1997,50.39,
"LFAC","LF Capital Acquistion Corp.","Finance","Business Services",46671560.82,"https://www.nasdaq.com/symbol/lfac",null,2018,9.61,
"IMDZ","Immune Design Corp.","Health Care","Major Pharmaceuticals",72728890.28,"https://www.nasdaq.com/symbol/imdz",null,2014,1.51,
"INDB","Independent Bank Corp.","Finance","Major Banks",2173325713.88,"https://www.nasdaq.com/symbol/indb",null,null,78.92,
"SLQD","iShares 0-5 Year Investment Grade Corporate Bond ETF",null,null,1420076000,"https://www.nasdaq.com/symbol/slqd",null,null,49.48,
"LABL","Multi-Color Corporation","Miscellaneous","Publishing",1090015941.86,"https://www.nasdaq.com/symbol/labl",null,1987,53.18,
"PKOH","Park-Ohio Holdings Corp.","Capital Goods","Industrial Specialties",425098047.6,"https://www.nasdaq.com/symbol/pkoh",null,null,33.14,
"HQY","HealthEquity Inc.","Miscellaneous","Business Services",5449102587.04,"https://www.nasdaq.com/symbol/hqy",null,2014,87.52,
"MTP","Midatech Pharma PLC","Health Care","Major Pharmaceuticals",1217812.221,"https://www.nasdaq.com/symbol/mtp","2920413",null,0.417,
"CA","CA Inc.","Technology","Computer Software: Prepackaged Software",18512203684.68,"https://www.nasdaq.com/symbol/ca",null,null,44.27,
"BFIN","BankFinancial Corporation","Finance","Savings Institutions",246994126.08,"https://www.nasdaq.com/symbol/bfin",null,null,14.16,
"DAVE","Famous Dave&#39;s of America Inc.","Consumer Services","Restaurants",46731471.64,"https://www.nasdaq.com/symbol/dave",null,null,5.14,
"NTES","NetEase Inc.","Miscellaneous","Business Services",15273760463.7,"https://www.nasdaq.com/symbol/ntes","76330637",null,200.1,
"EYEGW","Eyegate Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals",0,"https://www.nasdaq.com/symbol/eyegw",null,null,0.0799,
"EGHT","8x8 Inc","Technology","EDP Services",1538877933.12,"https://www.nasdaq.com/symbol/eght",null,null,16.49,
"CARG","CarGurus Inc.","Technology","EDP Services",4668665403.25,"https://www.nasdaq.com/symbol/carg",null,2017,42.65,
"LPCN","Lipocine Inc.","Health Care","Major Pharmaceuticals",28494482.26,"https://www.nasdaq.com/symbol/lpcn",null,null,1.34,
"MUDSW","Mudrick Capital Acquisition Corporation","Finance","Business Services",0,"https://www.nasdaq.com/symbol/mudsw",null,2018,0.63,
"GLPG","Galapagos NV","Health Care","Major Pharmaceuticals",879883326.85,"https://www.nasdaq.com/symbol/glpg","8838607",2015,99.55,
"MMYT","MakeMyTrip Limited","Consumer Services","Transportation Services",2326201025.92,"https://www.nasdaq.com/symbol/mmyt",null,2010,22.81,
"LORL","Loral Space and Communications Inc.","Technology","Radio And Television Broadcasting And Communications Equipment",1351761218.7,"https://www.nasdaq.com/symbol/lorl",null,null,43.7,
"CETV","Central European Media Enterprises Ltd.","Consumer Services","Broadcasting",842002334.82,"https://www.nasdaq.com/symbol/cetv",null,1994,3.33,
"MTSL","MER Telemanagement Solutions Ltd.","Public Utilities","Telecommunications Equipment",5010665.283,"https://www.nasdaq.com/symbol/mtsl",null,1997,1.521,
"DRAD","Digirad Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus",26356306.58,"https://www.nasdaq.com/symbol/drad",null,2004,1.31,
"RUSHA","Rush Enterprises Inc.","Consumer Durables","Automotive Aftermarket",1359741596.37,"https://www.nasdaq.com/symbol/rusha",null,null,34.99,
"LIVX","LiveXLive Media Inc.","Consumer Services","Restaurants",152071154.74,"https://www.nasdaq.com/symbol/livx",null,null,2.93,
"PHO","Invesco Water Resources ETF",null,null,779748000,"https://www.nasdaq.com/symbol/pho",null,null,28.72,
"EGOV","NIC Inc.","Miscellaneous","Business Services",890570913.42,"https://www.nasdaq.com/symbol/egov",null,1999,13.38,
"FPAYW","FlexShopper Inc.","Technology","Diversified Commercial Services",0,"https://www.nasdaq.com/symbol/fpayw",null,null,0.209,
"VSMV","VictoryShares US Multi-Factor Minimum Volatility ETF",null,null,0,"https://www.nasdaq.com/symbol/vsmv",null,null,28.6786,
"PDD","Pinduoduo Inc.","Miscellaneous","Business Services",1472320000,"https://www.nasdaq.com/symbol/pdd","85600000",2018,17.2,
"GILT","Gilat Satellite Networks Ltd.","Technology","Radio And Television Broadcasting And Communications Equipment",514025059.94,"https://www.nasdaq.com/symbol/gilt",null,null,9.38,
"RGLS","Regulus Therapeutics Inc.","Health Care","Major Pharmaceuticals",15288929.25,"https://www.nasdaq.com/symbol/rgls",null,2012,1.75,
